Zipcode,Household Income,Income per Capita,Population,Median Contract Rent,Median Gross Rent,Median Home Value,Median Monthly Owner Costs,Median Age,Year,MA,MANAME
93640,27771,8874,12645,632,760,144200,1070,29,2017,23420,Fresno CA
93643,53889,28035,2915,534,591,243300,1446,44.6,2017,31460,Madera CA
93644,49034,26458,8252,811,942,278600,1662,54.2,2017,31460,Madera CA
93646,26434,10377,10959,601,737,118500,1113,26.8,2017,23420,Fresno CA
93647,30987,10829,11387,646,826,135600,1179,26.6,2017,47300,Visalia-Porterville CA
93648,31653,11297,16018,654,775,134700,1124,26.3,2017,23420,Fresno CA
93650,36106,16067,3863,753,869,65300,1054,37.8,2017,23420,Fresno CA
93651,100952,42511,1743,789,847,381300,1845,50.9,2017,23420,Fresno CA
93652,36750,12819,373,622,828,120800,742,33.6,2017,23420,Fresno CA
93653,63125,31106,1324,884,1094,248600,1640,53.7,2017,31460,Madera CA
93654,44151,18324,31093,762,926,199700,1475,31.9,2017,23420,Fresno CA
93656,49530,14627,7345,659,861,166900,1372,29.7,2017,23420,Fresno CA
93657,51209,20603,35093,754,912,209000,1445,34.4,2017,23420,Fresno CA
93660,28500,10181,4360,466,615,120200,1065,24.6,2017,23420,Fresno CA
93662,42027,17050,30454,724,897,179500,1430,31.7,2017,23420,Fresno CA
93664,110833,56726,486,725,930,452600,2268,57.6,2017,23420,Fresno CA
93666,26932,8201,1117,542,654,67900,1107,21.3,2017,47300,Visalia-Porterville CA
93667,64856,27198,2877,834,1072,257500,1666,40.8,2017,23420,Fresno CA
93668,38162,19016,1018,821,1035,260900,1236,43,2017,23420,Fresno CA
93673,37031,11799,834,652,772,106900,1330,29.4,2017,47300,Visalia-Porterville CA
93675,70275,29240,3248,819,1048,187500,1504,50.1,2017,23420,Fresno CA
93701,17371,8814,10011,597,687,98500,933,25.1,2017,23420,Fresno CA
93702,25517,10464,44650,637,772,110800,1000,27.5,2017,23420,Fresno CA
93703,27873,13651,33143,718,873,122100,1052,28.8,2017,23420,Fresno CA
93704,55918,28875,28491,820,949,226300,1462,37.5,2017,23420,Fresno CA
93705,35009,15644,38315,760,890,149900,1231,29.5,2017,23420,Fresno CA
93706,30176,13041,40471,639,791,140400,1129,28.4,2017,23420,Fresno CA
93710,47723,21892,32410,801,927,210600,1464,28.1,2017,23420,Fresno CA
